event_id,event_start,event_end,duration_min,machine_id,operator_id,seatbelt_status,proximity_alert,overspeed_alert,unsafe_operation,event_type,event_severity
SEV01828,2026-01-01 12:10:00,2026-01-01 12:15:00,5.0,LOD001,OP1015,False,False,False,True,Seatbelt Violation,Low
SEV02053,2026-01-01 12:15:00,2026-01-01 12:20:00,5.0,LOD002,OP1002,False,False,False,True,Seatbelt Violation,Low
SEV02202,2026-01-01 12:20:00,2026-01-01 12:25:00,5.0,LOD003,OP1004,True,True,False,False,Proximity Hazard,Medium
SEV01164,2026-01-01 12:55:00,2026-01-01 13:00:00,5.0,EXC008,OP1011,True,False,False,True,Unsafe Operation,High
SEV02054,2026-01-01 13:05:00,2026-01-01 13:10:00,5.0,LOD002,OP1002,False,False,False,True,Seatbelt Violation,Low
SEV00661,2026-01-01 13:15:00,2026-01-01 13:20:00,5.0,EXC007,OP1012,False,False,False,True,Seatbelt Violation,Low
SEV00006,2026-01-01 13:30:00,2026-01-01 13:35:00,5.0,EXC001,OP1001,False,False,False,True,Seatbelt Violation,Low
SEV00431,2026-01-01 13:30:00,2026-01-01 13:35:00,5.0,EXC005,OP1007,True,True,False,False,Proximity Hazard,Medium
SEV01576,2026-01-01 13:40:00,2026-01-01 13:45:00,5.0,EXC009,OP1013,True,False,True,False,Overspeed,Medium
SEV00662,2026-01-01 14:00:00,2026-01-01 14:05:00,5.0,EXC007,OP1012,True,False,False,True,Unsafe Operation,High
SEV00663,2026-01-01 14:05:00,2026-01-01 14:10:00,5.0,EXC007,OP1012,True,False,True,False,Overspeed,Medium
SEV00664,2026-01-01 14:15:00,2026-01-01 14:20:00,5.0,EXC007,OP1012,True,True,False,False,Proximity Hazard,Medium
SEV01829,2026-01-01 14:20:00,2026-01-01 14:25:00,5.0,LOD001,OP1015,False,False,False,True,Seatbelt Violation,Low
